
capacity	voltage
676.1956	4.2103
678.3087	4.2098
680.4218	4.2090
682.5071	4.2084
684.6201	4.2080
686.7331	4.2072
688.8462	4.2066
690.9873	4.2057
693.1287	4.2051
695.2419	4.2043
697.2983	4.2039
699.4113	4.2032
701.5529	4.2025
703.6373	4.2019
705.7504	4.2013
707.8922	4.2007
710.0343	4.1997
712.1184	4.1991
714.2316	4.1985
716.3155	4.1979
718.4871	4.1971
720.5709	4.1965
722.7135	4.1959
724.7971	4.1953
726.8806	4.1944
729.0233	4.1938
731.1364	4.1930
733.2496	4.1924
735.3627	4.1918
737.4457	4.1912
739.5889	4.1906
741.7322	4.1898
743.8151	4.1892
745.9282	4.1884
748.0413	4.1878
750.1239	4.1872
752.2676	4.1865
754.3807	4.1857
756.4938	4.1851
758.5760	4.1845
760.6890	4.1839
762.8020	4.1830
764.9151	4.1823
767.0906	4.1816
769.1724	4.1810
771.2856	4.1802
773.3672	4.1798
775.4802	4.1791
777.6249	4.1784
779.7380	4.1778
781.8193	4.1770
783.9323	4.1764
786.0453	4.1756
788.1583	4.1749
790.3358	4.1741
792.4490	4.1735
794.5298	4.1729
796.6429	4.1721
798.7560	4.1714
800.8365	4.1707
802.9822	4.1700
805.0953	4.1694
807.2084	4.1688
809.2886	4.1682
811.4677	4.1674
813.5478	4.1668
815.6609	4.1660
817.8073	4.1653
819.8871	4.1645
822.0337	4.1639
824.1133	4.1631
826.2264	4.1625
828.3058	4.1619
830.4865	4.1611
832.5658	4.1604
834.7129	4.1598
836.7920	4.1590
838.8709	4.1585
841.0182	4.1578
843.1313	4.1572
845.2100	4.1564
847.3230	4.1559
849.4707	4.1550
851.5491	4.1543
853.6969	4.1535
855.7751	4.1530
857.8882	4.1523
860.0362	4.1517
862.1493	4.1511
864.2624	4.1503
866.3756	4.1495
868.4533	4.1489
870.5663	4.1482
872.6793	4.1476
874.7924	4.1468
876.9054	4.1462
879.0184	4.1456
881.1314	4.1448
883.2445	4.1442
885.3936	4.1434
887.5067	4.1427
889.5835	4.1419
891.7329	4.1413
893.8460	4.1407
895.9591	4.1399
898.0356	4.1393
900.1487	4.1386
902.3352	4.1379
904.4116	4.1370
906.5247	4.1364
908.6748	4.1357
910.7138	4.1350
912.8268	4.1344
914.9398	4.1338
917.0902	4.1331
919.2408	4.1323
921.2789	4.1315
923.3919	4.1309
925.5050	4.1303
927.6180	4.1295
929.7310	4.1289
931.8820	4.1282
933.9571	4.1276
936.1082	4.1268
938.2213	4.1260
940.3728	4.1253
942.4476	4.1247
944.5607	4.1239
946.7124	4.1233
948.7869	4.1227
950.9388	4.1219
953.0131	4.1213
955.1262	4.1207
957.2003	4.1199
959.3524	4.1192
961.4264	4.1186
963.6179	4.1178
965.6524	4.1172
967.8049	4.1164
969.8785	4.1158
971.9915	4.1151
974.1045	4.1143
976.2573	4.1137
978.4103	4.1129
980.4436	4.1123
982.6367	4.1115
984.7098	4.1109
986.7827	4.1103
988.8957	4.1097
991.0491	4.1088
993.2027	4.1082
995.3159	4.1074
997.3884	4.1068
999.5423	4.1060
1001.6147	4.1054
1003.7278	4.1048
1005.8409	4.1042
1007.9129	4.1033
1010.0260	4.1027
1012.1802	4.1019
1014.3347	4.1013
1016.4064	4.1006
1018.5196	4.0999
1020.6327	4.0993
1022.7041	4.0987
1024.8589	4.0980
1026.9720	4.0970
1029.0432	4.0964
1031.2402	4.0957
1033.3534	4.0951
1035.3823	4.0946
1037.5798	4.0937
1039.6507	4.0931
1041.7638	4.0925
1043.8769	4.0916
1045.9474	4.0909
1048.1031	4.0903
1050.2590	4.0896
1052.3722	4.0890
1054.4424	4.0883
1056.5556	4.0877
1058.6687	4.0870
1060.7818	4.0861
1062.9382	4.0854
1065.0080	4.0848
1067.0776	4.0842
1069.2342	4.0835
1071.3473	4.0829
1073.5042	4.0821
1075.5297	4.0815
1077.6867	4.0807
1079.8438	4.0800
1081.8688	4.0793
1084.0702	4.0786
1086.0949	4.0781
1088.2522	4.0774
1090.3209	4.0768
1092.4784	4.0760
1094.5916	4.0754
1096.6600	4.0746
1098.7730	4.0740
1100.8860	4.0732
1102.9991	4.0726
1105.1121	4.0720
1107.3153	4.0711
1109.4285	4.0705
1111.4964	4.0699
1113.5642	4.0691
1115.7227	4.0684
1117.8358	4.0677
1119.9489	4.0670
1122.0620	4.0664
1124.1293	4.0658
1126.2882	4.0652
1128.4013	4.0644
1130.4684	4.0638
1132.5814	4.0630
1134.7407	4.0624
1136.9001	4.0616
1139.0133	4.0609
1141.1265	4.0603
1143.1465	4.0597
1145.3529	4.0589
1147.4193	4.0583
1149.4856	4.0575
1151.6925	4.0568
1153.7587	4.0562
1155.8247	4.0555
1157.9849	4.0549
1160.0980	4.0543
1162.1638	4.0536
1164.2768	4.0529
1166.4373	4.0520
1168.5028	4.0514
1170.7113	4.0507
1172.7289	4.0502
1174.9377	4.0494
1177.0029	4.0488
1179.1160	4.0482
1181.2291	4.0475
1183.3422	4.0468
1185.4070	4.0461
1187.5201	4.0453
1189.6816	4.0447
1191.7947	4.0439
1193.9078	4.0433
1196.0209	4.0426
1198.0852	4.0420
1200.1982	4.0414
1202.4092	4.0404
1204.4733	4.0398
1206.5373	4.0392
1208.7488	4.0385
1210.7633	4.0380
1212.8764	4.0372
1215.0389	4.0366
1217.1024	4.0360
1219.3148	4.0352
1221.3782	4.0343
1223.4913	4.0337
1225.5545	4.0331
1227.7676	4.0323
1229.8808	4.0317
1231.9438	4.0311
1234.0569	4.0305
1236.2204	4.0298
1238.2327	4.0290
1240.3457	4.0284
1242.5093	4.0276
1244.6224	4.0270
1246.6848	4.0266
1248.8996	4.0256
1250.9108	4.0252
1253.0238	4.0246
1255.1880	4.0238
1257.2499	4.0229
1259.4142	4.0223
1261.4759	4.0217
1263.6404	4.0209
1265.7020	4.0204
1267.8150	4.0197
1269.9798	4.0189
1272.0929	4.0183
1274.1541	4.0175
1276.2671	4.0171
1278.3801	4.0162
1280.4932	4.0157
1282.6062	4.0150
1284.7192	4.0143
1286.8322	4.0136
1288.8927	4.0131
1291.0583	4.0124
1293.2240	4.0114
1295.3371	4.0108
1297.4502	4.0101
1299.5633	4.0095
1301.6764	4.0088
1303.7896	4.0082
1305.9027	4.0075
1308.0158	4.0069
1310.1289	4.0061
1312.1885	4.0053
1314.3551	4.0046
1316.4146	4.0041
1318.5276	4.0035
1320.6944	4.0027
1322.8076	4.0021
1324.8667	4.0015
1326.9797	4.0009
1329.1469	4.0000
1331.2600	3.9992
1333.3731	3.9986
1335.4862	3.9979
1337.5993	3.9973
1339.6579	3.9966
1341.8256	3.9960
1343.8839	3.9954
1346.0518	3.9945
1348.1100	3.9939
1350.2230	3.9931
1352.3360	3.9925
1354.5042	3.9919
1356.6173	3.9911
1358.7304	3.9905
1360.8436	3.9898
1362.9567	3.9890
1365.0698	3.9882
1367.1829	3.9876
1369.2960	3.9869
1371.3532	3.9864
1373.5222	3.9855
1375.6353	3.9849
1377.7484	3.9843
1379.8053	3.9835
1381.9747	3.9829
1384.0314	3.9821
1386.2009	3.9814
1388.2574	3.9808
1390.4271	3.9800
1392.5402	3.9794
1394.5965	3.9788
1396.6526	3.9782
1398.8226	3.9773
1400.9927	3.9765
1403.0486	3.9760
1405.1616	3.9753
1407.3320	3.9745
1409.4451	3.9739
1411.5007	3.9731
1413.6713	3.9725
1415.6691	3.9718
1417.8398	3.9712
1419.8949	3.9705
1422.0658	3.9696
1424.1789	3.9690
1426.2919	3.9684
1428.4049	3.9678
1430.5179	3.9670
1432.6893	3.9661
1434.8024	3.9655
1436.9156	3.9649
1439.0287	3.9641
1441.1418	3.9635
1443.2549	3.9628
1445.3091	3.9623
1447.4811	3.9615
1449.5352	3.9606
1451.7073	3.9599
1453.8204	3.9593
1455.8742	3.9586
1457.9873	3.9579
1460.1598	3.9571
1462.2133	3.9565
1464.3263	3.9559
1466.4394	3.9550
1468.6122	3.9544
1470.7253	3.9536
1472.7784	3.9530
1474.8915	3.9524
1477.0045	3.9516
1479.1175	3.9510
1481.2909	3.9503
