
capacity	voltage
676.0862	4.2144
678.1714	4.2138
680.3386	4.2130
682.4514	4.2123
684.5373	4.2115
686.6501	4.2109
688.7900	4.2103
690.8756	4.2097
693.0157	4.2089
695.1011	4.2083
697.2139	4.2077
699.3543	4.2069
701.4395	4.2065
703.5800	4.2055
705.6650	4.2049
707.7489	4.2043
709.9185	4.2037
712.0033	4.2029
714.1161	4.2023
716.2288	4.2017
718.3123	4.2011
720.4828	4.2002
722.5672	4.1996
724.7085	4.1990
726.8214	4.1984
728.8758	4.1979
731.0182	4.1970
733.1310	4.1965
735.2438	4.1959
737.3565	4.1952
739.4985	4.1944
741.6113	4.1938
743.7242	4.1930
745.8076	4.1924
747.9499	4.1918
750.0332	4.1913
752.1756	4.1904
754.2884	4.1900
756.4013	4.1892
758.4842	4.1886
760.5970	4.1878
762.7709	4.1871
764.8225	4.1866
766.9353	4.1860
769.0784	4.1852
771.1913	4.1846
773.2736	4.1840
775.3864	4.1831
777.5615	4.1823
779.6427	4.1817
781.7874	4.1811
783.8684	4.1805
785.9502	4.1801
788.0630	4.1793
790.2069	4.1787
792.3198	4.1781
794.4013	4.1772
796.5780	4.1764
798.6584	4.1758
800.7712	4.1753
802.8841	4.1746
804.9969	4.1740
807.1098	4.1733
809.1907	4.1727
811.3355	4.1720
813.4483	4.1711
815.5290	4.1706
817.6740	4.1698
819.7869	4.1692
821.8997	4.1686
823.9801	4.1682
826.1254	4.1674
828.2056	4.1668
830.2846	4.1660
832.4640	4.1653
834.5439	4.1646
836.6567	4.1639
838.7695	4.1633
840.8822	4.1625
842.9950	4.1621
845.1078	4.1613
847.2205	4.1607
849.3668	4.1599
851.4461	4.1593
853.5589	4.1587
855.7054	4.1579
857.8182	4.1573
859.8972	4.1567
862.0099	4.1561
864.1227	4.1555
866.2355	4.1546
868.3825	4.1540
870.4610	4.1534
872.6082	4.1526
874.6866	4.1520
876.8339	4.1514
878.9121	4.1509
881.0249	4.1501
883.1376	4.1495
885.2853	4.1486
887.3632	4.1480
889.5110	4.1474
891.6239	4.1466
893.7367	4.1462
895.8142	4.1456
897.9270	4.1450
900.0753	4.1442
902.1526	4.1436
904.3010	4.1428
906.4138	4.1421
908.4909	4.1415
910.6395	4.1408
912.7164	4.1402
914.8653	4.1395
916.9419	4.1390
919.0547	4.1384
921.2038	4.1375
923.2802	4.1369
925.3930	4.1363
927.5802	4.1355
929.6186	4.1350
931.8061	4.1343
933.8809	4.1337
935.9569	4.1331
938.1066	4.1324
940.2195	4.1315
942.2952	4.1311
944.4079	4.1303
946.5580	4.1295
948.6709	4.1289
950.7838	4.1282
952.8966	4.1277
955.0095	4.1271
957.1223	4.1263
959.2352	4.1256
961.3101	4.1251
963.4229	4.1244
965.5737	4.1237
967.6484	4.1231
969.7994	4.1224
971.8739	4.1219
974.0251	4.1212
976.0995	4.1207
978.2508	4.1198
980.2851	4.1193
982.4765	4.1186
984.5506	4.1181
986.7022	4.1173
