
capacity	voltage
2.1124	4.4332
4.2247	4.4294
6.3373	4.4266
8.4497	4.4242
10.5617	4.4222
12.6746	4.4204
14.7864	4.4186
16.8994	4.4170
19.0118	4.4155
21.1243	4.4141
23.2357	4.4126
25.3481	4.4112
27.4604	4.4100
29.5740	4.4088
31.6864	4.4076
33.7974	4.4062
35.9098	4.4050
38.0221	4.4039
40.1344	4.4028
42.2468	4.4018
44.3591	4.4007
46.4715	4.3996
48.5838	4.3987
50.6961	4.3976
52.8085	4.3967
54.9208	4.3957
57.0332	4.3947
59.1455	4.3938
61.2578	4.3929
63.3702	4.3922
65.4825	4.3912
67.5948	4.3905
69.7072	4.3894
71.8195	4.3886
73.9319	4.3879
76.0442	4.3871
78.1565	4.3864
80.2689	4.3856
82.3812	4.3848
84.4936	4.3839
86.6059	4.3832
88.7182	4.3824
90.8306	4.3818
92.9429	4.3810
95.0553	4.3803
97.1676	4.3796
99.2799	4.3790
101.3923	4.3781
103.5005	4.3775
105.6128	4.3767
107.7293	4.3761
109.8416	4.3754
111.9540	4.3748
114.0663	4.3742
116.1786	4.3735
118.2910	4.3729
120.4033	4.3722
122.5157	4.3714
124.6280	4.3709
126.7403	4.3703
128.8527	4.3697
130.9650	4.3691
133.0774	4.3685
135.1897	4.3679
137.3020	4.3673
139.4144	4.3665
141.5267	4.3659
143.6390	4.3653
145.7514	4.3648
147.8637	4.3642
149.9761	4.3636
152.0884	4.3632
154.2007	4.3626
156.3131	4.3619
158.4254	4.3612
160.5378	4.3606
162.6437	4.3601
164.7624	4.3595
166.8748	4.3590
168.9871	4.3584
171.0995	4.3578
173.2118	4.3574
175.3241	4.3568
177.4365	4.3563
179.5488	4.3554
181.6611	4.3549
183.7735	4.3545
185.8858	4.3539
187.9907	4.3534
190.1030	4.3528
192.2228	4.3523
194.3352	4.3517
196.4475	4.3513
198.5599	4.3507
200.6722	4.3502
202.7845	4.3496
204.8969	4.3490
207.0092	4.3485
209.1216	4.3479
211.2339	4.3474
213.3462	4.3468
215.4586	4.3464
217.5709	4.3458
219.6832	4.3453
221.7956	4.3447
223.9079	4.3442
226.0203	4.3435
228.1326	4.3430
230.2449	4.3424
232.3573	4.3420
234.4696	4.3415
236.5820	4.3409
238.6943	4.3404
240.8066	4.3398
242.9190	4.3394
245.0313	4.3389
247.1437	4.3381
249.2560	4.3377
251.3683	4.3371
253.4807	4.3366
255.5930	4.3362
257.6952	4.3355
259.8177	4.3351
261.9300	4.3345
264.0424	4.3340
266.1547	4.3334
268.2670	4.3330
270.3794	4.3322
272.4917	4.3317
274.6041	4.3311
276.7164	4.3307
278.8287	4.3301
280.9411	4.3296
283.0534	4.3291
285.1658	4.3285
287.2781	4.3281
289.3904	4.3276
291.5028	4.3270
293.6151	4.3262
295.7274	4.3258
297.8398	4.3253
299.9521	4.3247
302.0645	4.3243
304.1768	4.3236
306.2891	4.3230
308.4015	4.3226
310.5138	4.3221
312.6262	4.3215
314.7385	4.3209
316.8508	4.3203
318.9632	4.3197
321.0755	4.3192
323.1879	4.3186
