Capacity (mAh), Voltage (V)
0.085877292, 4.465565217
0.086207847, 4.465565217
0.086538403, 4.465473484
0.086935069, 4.465341858
0.087265625, 4.465232169
0.087662292, 4.465130435
0.087992847, 4.465130435
0.088323403, 4.465130435
0.088720069, 4.464565217
0.089050625, 4.464509414
0.089447292, 4.464377788
0.089777847, 4.464268099
0.090174514, 4.464136472
0.090505, 4.464130435
0.090901583, 4.464130435
0.091232139, 4.463565217
0.091694917, 4.463565217
0.092025472, 4.463565217
0.092422139, 4.463565217
0.092752694, 4.463565217
0.093149361, 4.463431395
0.093479917, 4.463299769
0.093876583, 4.462576599
0.094207139, 4.462565217
0.094669917, 4.462565217
0.095000472, 4.462565217
0.095331028, 4.462526884
0.095661583, 4.462417202
0.09605825, 4.462285584
0.096388806, 4.462175902
0.096785389, 4.461565217
0.097115875, 4.461565217
0.097446431, 4.461565217
0.097843097, 4.461562918
0.098173653, 4.461453236
0.098570319, 4.461321618
0.098900875, 4.461211936
0.099231431, 4.461130435
0.099628097, 4.460565217
0.099958653, 4.460565217
0.100355319, 4.460565217
0.100751986, 4.460271413
0.101148653, 4.460130435
0.101479208, 4.460130435
0.101809764, 4.459565217
0.102206431, 4.459565217
0.102536986, 4.459565217
0.102933653, 4.459565217
0.103264208, 4.459503266
0.103594764, 4.459393584
0.103991431, 4.459261965
0.104321986, 4.459152284
0.104718653, 4.458565217
0.105049208, 4.458565217
0.105379764, 4.458565217
0.10571025, 4.458560406
0.106106833, 4.458402498
0.1065035, 4.458244556
0.106834056, 4.458130435
0.107230722, 4.457565217
0.107561278, 4.457565217
0.107891833, 4.457561324
0.1082885, 4.457403382
0.108619056, 4.457271764
0.109015722, 4.457130435
0.109346278, 4.457130435
0.109676833, 4.457130435
0.1100735, 4.456565217
0.110404056, 4.456525492
0.110734611, 4.45641581
0.111131278, 4.456284192
0.111461764, 4.456174533
0.11179225, 4.456130435
0.112188917, 4.455565217
0.112519472, 4.455565217
0.112850028, 4.455565217
0.113246694, 4.45545184
0.113312806, 4.455429903
0.113643361, 4.455320221
0.114040028, 4.455188603
0.114370583, 4.455130435
0.114701139, 4.454565217
0.115097806, 4.454565217
0.115494472, 4.454565217
0.115891139, 4.45444395
0.116221694, 4.454334268
0.11655225, 4.454224586
0.116948917, 4.454130435
0.117279472, 4.454130435
0.117610028, 4.453565217
0.118006694, 4.453565217
0.118337181, 4.453489189
0.118667667, 4.45335759
0.119064333, 4.453199638
0.119394889, 4.453130435
0.119725444, 4.452565217
0.120122111, 4.452565217
0.120452667, 4.452565217
0.120849333, 4.452465384
0.121179889, 4.452355702
0.121510444, 4.45224602
0.121907111, 4.452130435
0.122237667, 4.451565217
0.122568222, 4.451565217
0.122964889, 4.451565217
0.123295444, 4.451523273
0.123692111, 4.451391646
0.124022667, 4.451281957
0.124353222, 4.451172269
0.124749889, 4.451130435
0.125080444, 4.450565217
0.125477111, 4.450565217
0.125807667, 4.450408317
0.126138222, 4.450188954
0.126468778, 4.450130435
0.126799333, 4.450130435
0.127129889, 4.450130435
0.127460444, 4.449565217
0.127791, 4.449565217
0.128121556, 4.449565217
0.128518222, 4.449456906
0.128848778, 4.449347218
0.129245444, 4.449215591
0.129576, 4.449130435
0.129972667, 4.448565217
0.130303222, 4.448565217
0.130699889, 4.448565217
0.131030444, 4.448503205
0.131427111, 4.448390389
0.131757667, 4.448296376
0.132154333, 4.44818356
0.132484889, 4.447517512
0.132881556, 4.447385885
0.133212111, 4.447276197
0.133608778, 4.44714457
0.133939333, 4.447130435
0.134269889, 4.447130435
0.134666556, 4.447130435
0.134997111, 4.447118659
0.135459889, 4.446399878
0.135790444, 4.446290189
0.136187111, 4.446158562
0.136517667, 4.446130435
0.136914333, 4.446130435
0.137244889, 4.446130435
0.137641556, 4.445545498
0.137972111, 4.445435816
0.138368778, 4.445304197
0.138633222, 4.445216452
0.138699333, 4.445194516
0.139096, 4.445130435
0.139426556, 4.445130435
0.139823222, 4.445130435
0.140153778, 4.444565217
0.140484333, 4.444471765
0.140881, 4.444340139
0.141211556, 4.44423045
0.141542111, 4.444130435
0.141938778, 4.444130435
0.142269333, 4.444130435
0.142666, 4.444110162
0.142996556, 4.443435263
0.143393222, 4.443303645
0.143723778, 4.443193963
0.144120444, 4.443130435
0.144451, 4.443130435
