Capacity (mAh), Voltage (V)
0.065973622, 0.10201001
0.066025185, 0.102021239
0.066076748, 0.102032468
0.06612831, 0.102043697
0.066179873, 0.102054926
0.066231436, 0.102066155
0.066282999, 0.102077384
0.066334562, 0.102088613
0.066386125, 0.10205515
0.066437687, 0.102006277
0.06648925, 0.101957405
0.066540813, 0.101908533
0.066592376, 0.10185966
0.066643939, 0.101810788
0.066695502, 0.101761915
0.066747064, 0.101713043
0.066798627, 0.101685054
0.06685019, 0.101703213
0.066901753, 0.101721373
0.066953316, 0.101739532
0.067004879, 0.101757692
0.067056442, 0.101775851
0.067108004, 0.101794011
0.067159567, 0.101811787
0.06721113, 0.1018286
0.067262693, 0.101845414
0.067314256, 0.101862227
0.067365819, 0.10187904
0.067417381, 0.101895854
0.067468944, 0.101912667
0.067520507, 0.101929481
0.06757207, 0.101946294
0.067623633, 0.101950945
0.067675196, 0.101953495
0.067726758, 0.101956045
0.067778321, 0.101958595
0.067829884, 0.101961145
0.067881447, 0.101963695
0.06793301, 0.101966245
0.067984573, 0.101968796
0.068036135, 0.101971346
0.068087698, 0.101973896
0.068139261, 0.101976446
0.068190824, 0.101978997
0.068242387, 0.101981547
0.06829395, 0.101984097
0.068345513, 0.101986647
0.068397075, 0.101989197
0.068448638, 0.101991748
0.068500201, 0.101994298
0.068551764, 0.101996848
0.068603327, 0.101999399
0.06865489, 0.102001949
0.068706452, 0.102004499
0.068758015, 0.10200705
0.068809578, 0.1020096
0.068861141, 0.10201215
0.068912704, 0.1020147
0.068964267, 0.102007307
0.069015829, 0.101944083
0.069067392, 0.101880859
0.069118955, 0.101817636
0.069170518, 0.101754412
0.069222081, 0.101691188
0.069273644, 0.101627964
0.069325206, 0.101574868
0.069376769, 0.101593027
0.069428332, 0.101611187
0.069479895, 0.101629346
0.069531458, 0.101647506
0.069583021, 0.101665665
0.069634584, 0.101683825
0.069686146, 0.101701984
0.069737709, 0.101720144
0.069789272, 0.101738303
0.069840835, 0.101756462
0.069892398, 0.101774622
0.069943961, 0.101792781
0.069995523, 0.101810941
0.070047086, 0.1018291
0.070098649, 0.10184726
0.070150212, 0.101856729
0.070201775, 0.101861834
0.070253338, 0.101866939
0.0703049, 0.101872043
0.070356463, 0.101877148
0.070408026, 0.101882252
0.070459589, 0.101887357
0.070511152, 0.101890829
0.070562715, 0.101893378
0.070614277, 0.101895928
0.07066584, 0.101898477
0.070717403, 0.101901026
0.070768966, 0.101903576
0.070820529, 0.101906125
0.070872092, 0.101908674
0.070923654, 0.101911223
0.070975217, 0.101913773
0.07102678, 0.101916322
0.071078343, 0.101918871
0.071129906, 0.10192142
0.071181469, 0.10192397
0.071233032, 0.101926519
0.071284594, 0.101929707
0.071336157, 0.101935801
0.07138772, 0.101941895
0.071439283, 0.10194799
0.071490846, 0.101954406
0.071542409, 0.101960973
0.071593971, 0.10196754
0.071645534, 0.101974108
0.071697097, 0.101980675
0.07174866, 0.101996267
0.071800223, 0.1020149
0.071851786, 0.102033532
0.071903348, 0.102052165
0.071954911, 0.102070797
0.072006474, 0.10208943
0.072058037, 0.102108062
0.0721096, 0.102126695
0.072161163, 0.102145327
0.072212725, 0.10216396
0.072264288, 0.102182592
0.072315851, 0.102201225
0.072367414, 0.102219857
0.072418977, 0.102238489
0.07247054, 0.102210563
0.072522103, 0.102162164
0.072573665, 0.102113764
0.072625228, 0.102065365
0.072676791, 0.102016965
0.072728354, 0.101968566
0.072779917, 0.101920166
0.07283148, 0.101871766
0.072883042, 0.101838879
0.072934605, 0.10184957
0.072986168, 0.101860261
0.073037731, 0.101870952
0.073089294, 0.101881643
0.073140857, 0.101892334
0.073192419, 0.101903025
0.073243982, 0.101911907
0.073295545, 0.10191493
0.073347108, 0.101917952
0.073398671, 0.101920974
0.073450234, 0.101923997
0.073501796, 0.101927019
0.073553359, 0.101930041
0.073604922, 0.101933064
0.073656485, 0.101936086
0.073708048, 0.101939108
0.073759611, 0.10194213
0.073811174, 0.101945153
0.073862736, 0.101948175
0.073914299, 0.101951197
0.073965862, 0.101954219
0.074017425, 0.101957241
0.074068988, 0.101960264
0.074120551, 0.101963286
0.074172113, 0.101966308
0.074223676, 0.10196933
0.074275239, 0.101972352
0.074326802, 0.101975375
0.074378365, 0.101978397
0.074429928, 0.101981419
0.07448149, 0.101989529
0.074533053, 0.102007302
0.074584616, 0.102025075
0.074636179, 0.102042848
0.074687742, 0.102060621
0.074739305, 0.102078394
0.074790867, 0.102096168
0.07484243, 0.102114215
0.074893993, 0.102132848
0.074945556, 0.10215148
0.074997119, 0.102170113
0.075048682, 0.102188745
0.075100244, 0.102207378
0.075151807, 0.10222601
0.07520337, 0.102244643
0.075254933, 0.102263275
0.075306496, 0.10221037
0.075358059, 0.102148564
0.075409622, 0.102086758
0.075461184, 0.102024953
0.075512747, 0.101963147
0.07556431, 0.101901341
0.075615873, 0.101839535
0.075667436, 0.101847117
0.075718999, 0.101865749
0.075770561, 0.101884382
0.075822124, 0.101903014
