Capacity (mAh), Voltage (V)
4806.825, 3.197854
4823.175, 3.182114
4839.525, 3.165831
4855.875, 3.149363
4872.225, 3.13302
4888.574, 3.116133
4904.924, 3.099058
4921.274, 3.081614
4937.624, 3.063375
4953.974, 3.044777
4970.324, 3.02459
4986.673, 3.002574
4988.554, 2.999952
