
capacity	voltage
2.1124	4.4134
4.2249	4.4099
6.3373	4.4074
8.4494	4.4053
10.5617	4.4038
12.6746	4.4022
14.7870	4.4007
16.8994	4.3995
19.0111	4.3984
21.1234	4.3972
23.2367	4.3961
25.3481	4.3951
27.4615	4.3940
29.5727	4.3932
31.6851	4.3923
33.7988	4.3914
35.9112	4.3905
38.0221	4.3896
40.1344	4.3888
42.2468	4.3880
44.3609	4.3871
46.4715	4.3864
48.5838	4.3857
50.6961	4.3850
52.8106	4.3841
54.9208	4.3833
57.0332	4.3827
59.1455	4.3819
61.2578	4.3813
63.3728	4.3806
65.4825	4.3799
67.5948	4.3793
69.7072	4.3787
71.8195	4.3780
73.9319	4.3774
76.0442	4.3766
78.1597	4.3760
80.2689	4.3755
82.3812	4.3749
84.4936	4.3743
86.6059	4.3737
88.7182	4.3731
90.8306	4.3723
92.9429	4.3719
95.0591	4.3713
97.1676	4.3706
99.2799	4.3702
101.3923	4.3696
103.5046	4.3691
105.6169	4.3685
107.7293	4.3679
109.8416	4.3674
111.9540	4.3668
114.0663	4.3662
116.1786	4.3658
118.2958	4.3651
120.4033	4.3647
122.5157	4.3641
124.6280	4.3636
126.7403	4.3632
128.8527	4.3627
130.9704	4.3621
133.0774	4.3616
135.1897	4.3609
137.3020	4.3604
139.4144	4.3600
141.5267	4.3595
143.6390	4.3590
145.7514	4.3584
147.8637	4.3580
149.9822	4.3575
152.0884	4.3571
154.2007	4.3564
156.3131	4.3560
158.4254	4.3554
160.5378	4.3549
162.6501	4.3545
164.7692	4.3539
166.8748	4.3534
168.9940	4.3529
171.0995	4.3525
173.2118	4.3520
175.3241	4.3516
177.4437	4.3510
179.5488	4.3505
181.6611	4.3500
183.7735	4.3494
185.8858	4.3490
188.0058	4.3485
190.1105	4.3479
192.2228	4.3476
194.3431	4.3470
196.4475	4.3467
198.5599	4.3461
200.6722	4.3456
202.7928	4.3452
204.8969	4.3447
207.0092	4.3442
209.1301	4.3436
211.2339	4.3430
213.3462	4.3426
215.4586	4.3421
217.5709	4.3416
219.6832	4.3412
221.7956	4.3407
223.9079	4.3403
226.0203	4.3398
228.1419	4.3394
230.2449	4.3387
232.3573	4.3381
234.4696	4.3377
236.5820	4.3372
238.6943	4.3368
240.8165	4.3363
242.9190	4.3358
245.0313	4.3354
247.1537	4.3348
249.2560	4.3345
251.3786	4.3339
253.4807	4.3334
255.5930	4.3330
257.7053	4.3323
259.8177	4.3319
261.9300	4.3313
264.0424	4.3308
266.1547	4.3304
268.2670	4.3299
270.3794	4.3294
272.4917	4.3290
274.6041	4.3285
276.7164	4.3281
278.8287	4.3275
280.9411	4.3270
283.0534	4.3264
285.1658	4.3259
287.2781	4.3255
289.4022	4.3249
291.5028	4.3244
293.6151	4.3239
295.7274	4.3235
297.8519	4.3230
299.9521	4.3224
302.0645	4.3218
304.1892	4.3215
306.2891	4.3207
308.4141	4.3203
310.5138	4.3198
312.6262	4.3194
314.7385	4.3189
316.8508	4.3185
318.9632	4.3178
321.0755	4.3174
323.1879	4.3168
325.3002	4.3165
327.4125	4.3159
329.5249	4.3153
331.6372	4.3148
333.7495	4.3143
335.8619	4.3137
337.9742	4.3133
340.0866	4.3127
342.1989	4.3122
344.3112	4.3117
346.4236	4.3113
348.5359	4.3108
350.6483	4.3102
352.7606	4.3098
354.8729	4.3091
356.9853	4.3085
359.0976	4.3081
361.2100	4.3075
363.3223	4.3070
365.4346	4.3066
367.5470	4.3059
369.6593	4.3055
371.7716	4.3050
373.8840	4.3044
375.9963	4.3038
378.1087	4.3032
380.2365	4.3027
382.3333	4.3023
384.4457	4.3017
386.5580	4.3011
388.6704	4.3006
390.7827	4.3000
392.8795	4.2995
395.0074	4.2991
397.1197	4.2985
399.2321	4.2979
401.3286	4.2974
403.4567	4.2968
405.5691	4.2963
407.6814	4.2957
409.7937	4.2953
411.9061	4.2947
414.0184	4.2942
416.1308	4.2936
418.2431	4.2931
420.3554	4.2925
422.4678	4.2919
424.5801	4.2914
426.6925	4.2908
428.8048	4.2902
430.9171	4.2898
433.0295	4.2892
435.1418	4.2887
437.2542	4.2881
439.3665	4.2875
441.4788	4.2870
443.5912	4.2863
445.7035	4.2858
447.8158	4.2852
449.9282	4.2847
452.0405	4.2841
454.1529	4.2835
456.2652	4.2831
458.3775	4.2824
460.4899	4.2820
462.6022	4.2814
464.7146	4.2806
466.8269	4.2802
468.9584	4.2795
471.0516	4.2789
473.1639	4.2785
475.2763	4.2779
477.3886	4.2773
479.5009	4.2768
481.6133	4.2762
483.7256	4.2756
485.8379	4.2750
487.9503	4.2744
490.0626	4.2737
492.1750	4.2733
494.2873	4.2727
496.3996	4.2721
498.5120	4.2715
500.6243	4.2710
502.7367	4.2702
504.8490	4.2698
506.9613	4.2690
509.0737	4.2684
511.1860	4.2678
513.2984	4.2673
515.4107	4.2667
517.5230	4.2661
519.6354	4.2655
521.7477	4.2649
523.8600	4.2643
525.9724	4.2638
528.0847	4.2631
530.1971	4.2625
532.3094	4.2618
534.4217	4.2612
536.5341	4.2606
538.6464	4.2602
540.7588	4.2596
542.8711	4.2589
544.9834	4.2583
547.0958	4.2576
549.1864	4.2570
551.3205	4.2564
553.4328	4.2557
555.5451	4.2553
557.6575	4.2545
559.7698	4.2541
561.8821	4.2535
563.9945	4.2528
566.1068	4.2521
568.2192	4.2515
570.3315	4.2509
572.4438	4.2502
574.5562	4.2496
576.6685	4.2490
578.7809	4.2484
580.8932	4.2478
583.0055	4.2470
585.1179	4.2463
587.2302	4.2458
589.3193	4.2452
591.4549	4.2446
593.5438	4.2440
595.6796	4.2434
597.7919	4.2426
599.9042	4.2422
602.0166	4.2415
604.1289	4.2406
606.2413	4.2402
608.3536	4.2394
610.4659	4.2390
612.5783	4.2383
614.6906	4.2376
616.8030	4.2370
618.9153	4.2364
621.0276	4.2358
623.1400	4.2351
625.2523	4.2344
627.3647	4.2338
629.4770	4.2332
631.5893	4.2325
633.7017	4.2319
