
capacity	voltage
2.1124	4.4005
4.2249	4.3975
6.3373	4.3952
8.4494	4.3935
10.5617	4.3922
12.6746	4.3909
14.7870	4.3897
16.8994	4.3886
19.0118	4.3877
21.1243	4.3868
23.2367	4.3859
25.3481	4.3851
27.4615	4.3844
29.5727	4.3835
31.6851	4.3827
33.7974	4.3819
35.9098	4.3812
38.0221	4.3806
40.1361	4.3798
42.2468	4.3792
44.3591	4.3784
46.4715	4.3778
48.5838	4.3770
50.6961	4.3766
52.8085	4.3760
54.9208	4.3754
57.0332	4.3748
59.1455	4.3742
61.2578	4.3735
63.3702	4.3729
65.4825	4.3723
67.5948	4.3717
69.7072	4.3711
71.8195	4.3706
73.9319	4.3702
76.0442	4.3696
78.1565	4.3691
80.2689	4.3687
82.3812	4.3682
84.4936	4.3676
86.6059	4.3670
88.7182	4.3664
90.8306	4.3661
92.9429	4.3655
95.0553	4.3650
97.1676	4.3645
99.2840	4.3639
101.3923	4.3635
103.5046	4.3630
105.6169	4.3626
107.7293	4.3621
109.8416	4.3616
111.9540	4.3610
114.0663	4.3606
116.1786	4.3600
118.2910	4.3597
120.4033	4.3592
122.5157	4.3587
124.6280	4.3581
126.7403	4.3577
128.8527	4.3572
130.9650	4.3568
133.0774	4.3563
135.1897	4.3558
137.3020	4.3552
139.4144	4.3548
141.5267	4.3543
143.6390	4.3539
145.7514	4.3534
147.8637	4.3529
149.9761	4.3525
152.0884	4.3522
154.2007	4.3517
156.3131	4.3513
158.4254	4.3508
160.5378	4.3503
162.6501	4.3497
164.7624	4.3493
166.8748	4.3488
168.9871	4.3484
171.0995	4.3479
173.2118	4.3474
175.3241	4.3470
177.4365	4.3465
179.5488	4.3462
181.6611	4.3456
183.7735	4.3453
185.8858	4.3449
187.9982	4.3444
190.1030	4.3438
192.2228	4.3433
194.3352	4.3429
196.4475	4.3424
198.5520	4.3420
200.6722	4.3415
202.7765	4.3410
204.8969	4.3406
207.0092	4.3401
209.1216	4.3397
211.2256	4.3392
213.3462	4.3387
215.4586	4.3381
217.5623	4.3377
219.6746	4.3374
221.7956	4.3368
223.9079	4.3365
226.0203	4.3358
228.1326	4.3355
230.2449	4.3351
232.3481	4.3346
234.4696	4.3342
236.5726	4.3337
238.6943	4.3333
240.8066	4.3325
242.9094	4.3322
245.0216	4.3317
247.1339	4.3313
249.2462	4.3308
251.3683	4.3304
253.4707	4.3299
255.5930	4.3294
257.6952	4.3290
259.8074	4.3285
261.9197	4.3281
264.0319	4.3276
266.1442	4.3270
268.2670	4.3265
270.3687	4.3261
272.4917	4.3256
274.5932	4.3252
276.7055	4.3246
278.8287	4.3243
280.9300	4.3238
283.0534	4.3232
285.1545	4.3227
287.2781	4.3223
289.3790	4.3220
291.4913	4.3214
293.6035	4.3209
295.7158	4.3203
297.8398	4.3198
299.9521	4.3194
302.0645	4.3189
304.1768	4.3185
306.2771	4.3180
308.4015	4.3175
310.5138	4.3169
312.6138	4.3166
314.7385	4.3162
316.8383	4.3156
318.9506	4.3151
321.0755	4.3146
323.1879	4.3140
325.2874	4.3136
327.4125	4.3131
329.5249	4.3125
331.6241	4.3122
333.7495	4.3116
335.8486	4.3111
337.9609	4.3107
340.0731	4.3102
342.1854	4.3098
344.2977	4.3091
346.4099	4.3085
348.5359	4.3081
350.6483	4.3076
352.7606	4.3070
354.8729	4.3066
356.9853	4.3061
359.0834	4.3056
361.2100	4.3052
363.3223	4.3046
365.4346	4.3041
367.5325	4.3035
369.6593	4.3030
371.7716	4.3024
373.8692	4.3020
375.9815	4.3015
378.1087	4.3011
380.2210	4.3004
382.3333	4.3000
384.4305	4.2995
386.5580	4.2989
388.6704	4.2985
390.7827	4.2979
392.8950	4.2972
395.0074	4.2968
397.1197	4.2963
399.2321	4.2957
401.3444	4.2953
403.4567	4.2947
405.5691	4.2942
407.6814	4.2937
409.7937	4.2931
411.9061	4.2927
414.0184	4.2921
416.1308	4.2914
418.2431	4.2910
420.3554	4.2905
