
Cap(mAh)	Voltage
0	0.029130435
0	0.029130435
6.10833E-05	0.103303749
0.000244333	0.167204573
0.000610833	0.168033157
0.00091625	0.168621063
0.00128275	0.168791258
0.001588167	0.169027289
0.001893583	0.168698105
0.002260083	0.168606163
0.0025655	0.167947791
0.002932	0.167157745
0.003237417	0.167293165
0.003603917	0.165767707
0.003909333	0.165438522
0.00421475	0.165109336
0.00458125	0.164093242
0.00494775	0.163039848
0.005253167	0.162162019
0.005558583	0.16112194
0.005864	0.160272163
0.006169417	0.159613791
0.006474833	0.158970281
0.00678025	0.157966148
0.007085667	0.157527233
0.00745225	0.157000417
0.007757736	0.156292904
0.008063153	0.154410942
0.008429653	0.153871154
0.008735069	0.153387492
0.009040486	0.152163902
0.009406986	0.151373856
0.009712403	0.150150266
0.010017819	0.149491896
0.010384319	0.14870185
0.010689736	0.148043478
0.011056236	0.147083238
0.011361653	0.146754052
0.011728153	0.146359029
0.012033639	0.146029769
0.012339125	0.145127567
0.012705625	0.144653539
0.013011042	0.144258516
0.013377542	0.143798668
0.013682958	0.142904266
0.014049458	0.142509243
0.014354875	0.142180057
0.014721375	0.141176824
0.015026792	0.1407818
0.015332208	0.139821561
0.015698708	0.139383814
0.016004194	0.139054553
0.016370778	0.138094222
0.016676194	0.137765037
0.017042694	0.137587106
0.017409194	0.137455432
0.017714611	0.136780486
0.018081111	0.136601971
0.018386528	0.136382514
0.018691944	0.136163057
0.019058444	0.135899709
0.019363861	0.135607334
0.019669278	0.135315867
0.019974694	0.13509641
0.020280111	0.13435152
0.020585528	0.134241791
0.020952028	0.134110117
0.021257444	0.134000388
0.021562861	0.13389066
0.021929361	0.133758985
0.022234778	0.133649257
0.022601278	0.133511763
0.022906694	0.133248415
0.023212111	0.132985066
0.023578611	0.132669048
0.023945111	0.131962313
0.024311611	0.131830639
0.024617028	0.13172091
0.024922444	0.131581902
0.025227861	0.131393795
0.025594361	0.131733285
0.025899778	0.130979962
0.026266278	0.130782609
0.026693861	0.131347826
0.026999278	0.131347826
0.027304694	0.131320517
0.027610111	0.131210788
0.027976611	0.131079113
0.028282028	0.130969385
0.028587444	0.130913043
0.028892861	0.130913043
0.029259361	0.130913043
0.029564778	0.130849743
0.029870194	0.130685151
0.030236694	0.13048764
0.030542111	0.130478261
0.030847528	0.130409984
0.031152944	0.130300255
0.031519444	0.130168581
0.031824861	0.130058852
0.032130278	0.130043478
0.032435694	0.130043478
0.032802194	0.130043478
0.033107611	0.130032775
0.033413028	0.129923046
0.033718444	0.129813318
0.034085028	0.129681613
0.034390514	0.129608696
0.034695931	0.129608696
0.035062431	0.129608696
0.035367847	0.129608696
0.035673264	0.129545783
0.036039764	0.129414108
0.036345181	0.12930438
0.036711681	0.129173913
0.037078181	0.129173913
0.037444681	0.129173913
0.037750097	0.129173913
0.038055514	0.12973913
0.038422014	0.12973913
0.038727431	0.12973913
0.039032847	0.12973913
0.039338264	0.12973913
0.039704764	0.12973913
0.040010181	0.12973913
0.040376681	0.129722807
0.040682097	0.129591133
0.040987514	0.129459459
0.041354014	0.129301933
0.041659431	0.129192204
0.041964847	0.129082476
0.042270264	0.128972747
0.042575681	0.128869565
0.042881097	0.128869565
0.043247597	0.128869565
0.043553014	0.128869565
0.043858431	0.129434783
0.044225014	0.129434783
0.0445305	0.129434783
0.044897	0.129434783
0.045202417	0.129434783
0.04563	0.129434783
0.045935417	0.129434783
0.046301917	0.129434783
0.046607333	0.129434783
0.047034917	0.129434783
0.047401417	0.129361136
0.047706833	0.129251408
0.048073333	0.129119733
0.04837875	0.129010005
0.04874525	0.129
0.049050736	0.129
0.049417319	0.129
0.049722736	0.129
0.050089236	0.129
0.050394653	0.129
0.050761236	0.129
0.051066722	0.129
0.051433222	0.129
0.051738639	0.129
0.052105139	0.129
0.052471639	0.129
0.052777056	0.129
0.053143556	0.129
0.053571139	0.129
0.053876556	0.129565217
0.054243056	0.129565217
0.054609556	0.129565217
0.054914972	0.129565217
0.055281472	0.129565217
0.055586889	0.129565217
0.055953389	0.129565217
0.056258806	0.129565217
0.056625306	0.129565217
0.056930722	0.129565217
0.057297222	0.129565217
0.057602639	0.129565217
0.057969139	0.129565217
0.058274556	0.129565217
0.058641056	0.129565217
0.059007556	0.129565217
0.059312972	0.129565217
0.059679472	0.129565217
0.059984889	0.129565217
0.060351389	0.129565217
0.060717889	0.129565217
0.061023306	0.129565217
0.061389806	0.129565217
0.061695222	0.129565217
0.062061722	0.129565217
0.062367139	0.129565217
0.062733639	0.129565217
0.063039056	0.130130435
0.063344472	0.130130435
0.063710972	0.129565217
0.064077472	0.12944237
0.064382889	0.129897859
0.064749389	0.129766185
0.065115889	0.129695652
0.065421306	0.129695652
0.065787806	0.129695652
0.066093222	0.129695652
0.066459722	0.129695652
0.066826222	0.129695652
0.067192722	0.129695652
0.067498139	0.129695652
0.067925722	0.129695652
0.068231139	0.129695652
0.068597639	0.129695652
0.068903056	0.129695652
0.069269556	0.129695652
0.069574972	0.129695652
0.069880389	0.129695652
0.070246889	0.129695652
0.070552306	0.129695652
0.070918806	0.129695652
0.071224222	0.129695652
0.071590806	0.129695652
0.071896292	0.129695652
0.072262792	0.129695652
0.072568208	0.129695652
0.072873625	0.129695652
0.073240125	0.129695652
0.073545542	0.129695652
0.073850958	0.129695652
0.074217458	0.129695652
0.074522875	0.129695652
0.074828292	0.129695652
0.075194792	0.129695652
0.075500208	0.129695652
0.075805625	0.129695652
0.076111042	0.129695652
0.076477542	0.129695652
0.076782958	0.129695652
0.077149458	0.129695652
0.077454875	0.129695652
0.077821375	0.129695652
0.078126792	0.13026087
0.078432208	0.13026087
0.078798708	0.13026087
0.079104125	0.13026087
0.079470625	0.13026087
0.079776042	0.13026087
0.080081458	0.13026087
0.080386875	0.13026087
0.080753375	0.13026087
0.081058792	0.13026087
0.081364208	0.13026087
0.081730708	0.13026087
0.082036125	0.13026087
0.082402625	0.13026087
0.082708042	0.13026087
0.083013458	0.13026087
0.083379958	0.13026087
0.083685375	0.13026087
0.084051875	0.13026087
0.084357292	0.13026087
0.084662708	0.13026087
0.085029208	0.13026087
0.085334625	0.13026087
0.085701125	0.13026087
0.086006542	0.13026087
0.086311958	0.13026087
0.086678458	0.13026087
0.086983875	0.13026087
0.087289292	0.13026087
0.087716875	0.13026087
0.088022292	0.13026087
0.088327708	0.13026087
0.088694208	0.13026087
0.088999625	0.13026087
0.089366125	0.13026087
0.089671542	0.13026087
0.089976958	0.13026087
0.090343458	0.13026087
0.090648875	0.130157081
0.090954292	0.13004736
0.091259708	0.129937639
0.091626208	0.129826087
0.091931625	0.129826087
0.092359208	0.129826087
0.092664625	0.130391304
0.092970042	0.129826087
0.093275458	0.129826087
0.093580875	0.130391304
0.094008458	0.130391304
0.094313875	0.130391304
0.094619361	0.130391304
0.094985944	0.130391304
0.095291361	0.130391304
0.095596778	0.130391304
0.095963278	0.130391304
0.096268694	0.130391304
0.096574111	0.130391304
0.096940611	0.130391304
0.097246028	0.130391304
0.097612528	0.130391304
0.097917944	0.130391304
0.098284444	0.130391304
0.098650944	0.130391304
0.099017444	0.130391304
0.099445028	0.130391304
0.099750444	0.130391304
0.100055861	0.130391304
0.100422361	0.130391304
0.100727778	0.130391304
0.101094278	0.130391304
0.101399694	0.130391304
0.101766194	0.130391304
0.102071611	0.130391304
0.102438111	0.130391304
