
cap	vol
0	4.49004
1.00E-03	4.462595
1.415000182	4.438202
2.831000082	4.42993
4.248000122	4.423835
5.664000022	4.418364
7.081000062	4.413796
8.496999962	4.409813
9.914000002	4.405868
11.3299999	4.402198
12.74699994	4.399111
14.16299984	4.395928
15.57999988	4.393057
16.9960002	4.390323
18.41299982	4.387267
19.82900014	4.384517
21.24600018	4.382065
22.66200008	4.379199
24.07900012	4.376577
25.49600016	4.374144
26.91200006	4.37141
28.3290001	4.368967
29.745	4.366524
31.16200004	4.36377
32.57799994	4.361346
33.99499998	4.358308
35.41099988	4.355839
36.82799992	4.353054
38.24399982	4.350169
39.66099986	4.347306
41.07700019	4.344382
42.4939998	4.341685
43.91000013	4.338759
45.32700017	4.335777
46.74300007	4.332843
48.16000011	4.32961
49.57600001	4.326887
50.99300005	4.323829
52.40899995	4.320535
53.82599999	4.31753
55.24199989	4.314381
56.65899993	4.311009
58.07499983	4.307787
59.49199987	4.304612
60.90800019	4.301312
62.32499981	4.297906
63.74100013	4.294553
65.15800017	4.290909
66.57400007	4.287607
67.99100011	4.284137
69.40700001	4.280545
70.82400005	4.277185
72.23999995	4.273519
73.65699999	4.269881
75.07400003	4.266216
76.48999993	4.26286
77.90599983	4.258903
79.32299987	4.255235
80.73900019	4.251288
82.15599981	4.247612
83.57200013	4.24385
84.98900017	4.240014
86.40500007	4.23604
87.82200011	4.232075
89.23900015	4.228408
90.65500005	4.224453
92.07200009	4.220425
93.48799999	4.21652
94.90500003	4.212555
96.32099993	4.208592
97.73799997	4.204671
99.15399987	4.200642
100.5709999	4.196686
101.9869998	4.192411
103.4039999	4.188451
104.8200002	4.184465
106.2369998	4.180523
107.6530001	4.176251
109.0700002	4.172282
110.4860001	4.168008
111.9030001	4.164026
113.319	4.160066
114.736	4.155958
116.1519999	4.151816
117.569	4.147634
118.9849999	4.143601
120.4019999	4.139636
121.8179998	4.135366
123.2349999	4.131413
124.6510002	4.127208
126.0679998	4.123192
127.4840001	4.119238
128.9010002	4.114968
130.3170001	4.111077
131.7340001	4.107041
133.1510001	4.10307
134.567	4.099119
135.9840001	4.094852
137.4	4.090868
138.817	4.086917
140.2329999	4.082965
141.65	4.078991
143.0659999	4.074774
144.4829999	4.071062
145.8989998	4.066799
147.3159998	4.063199
148.7320002	4.059353
150.1490002	4.055199
151.5650001	4.051236
152.9820001	4.047265
154.398	4.043621
155.8150001	4.039527
157.231	4.035618
158.648	4.031654
160.0639999	4.027761
161.481	4.02379
162.8969999	4.019883
164.3139999	4.01586
165.7299998	4.011902
167.1469998	4.007937
168.5630002	4.004024
169.9800002	4.000243
171.3960001	3.996043
172.8130001	3.99215
174.2300002	3.988172
175.6460001	3.984126
177.0630001	3.980479
178.479	3.976197
179.8960001	3.972246
181.312	3.968263
182.729	3.964066
184.1449999	3.960346
185.5619999	3.956383
186.9779998	3.952421
188.3949999	3.948479
189.8110002	3.944501
191.2279998	3.940838
192.6440001	3.936877
194.0610002	3.932924
195.4770001	3.929245
196.8940001	3.925589
198.31	3.922229
199.7270001	3.918447
201.143	3.914909
202.56	3.911685
203.9759999	3.908398
205.3929999	3.905165
206.8089998	3.902118
208.2259999	3.899079
209.6429999	3.89584
211.0589998	3.892974
212.4759999	3.889921
213.8920002	3.887175
215.3089998	3.884261
216.7250001	3.881412
218.1420002	3.878663
219.5580001	3.875896
220.9750001	3.873405
222.391	3.870601
223.808	3.867991
225.2239999	3.865547
226.641	3.8631
228.0569999	3.86035
229.4739999	3.85798
230.8899998	3.855477
232.3069999	3.85317
233.7230002	3.850719
235.1399998	3.848469
236.5560001	3.846038
237.9730002	3.843899
239.3890001	3.841451
240.8060001	3.839295
242.222	3.836996
243.639	3.83497
245.0549999	3.832592
246.472	3.830488
247.8879999	3.82841
249.3049999	3.82621
250.722	3.824379
252.1379999	3.821929
253.5549999	3.820104
254.9709998	3.817957
256.3879998	3.816084
257.8040002	3.814011
259.2210002	3.811852
260.6370001	3.810026
262.0540001	3.807874
263.47	3.806057
264.8870001	3.804278
266.303	3.80228
267.72	3.800555
269.1359999	3.798488
270.553	3.796854
271.9689999	3.795111
273.3859999	3.792962
274.8019998	3.791375
276.2189998	3.789606
277.6350002	3.787766
279.0510001	3.786054
280.4680001	3.784345
281.884	3.782507
283.301	3.780754
284.7169999	3.779035
286.134	3.777396
287.5499999	3.775863
288.9669999	3.77402
290.3829998	3.772515
291.7999999	3.770994
293.2160002	3.769178
294.6329998	3.767646
296.0490001	3.766134
297.4660002	3.764356
298.8820001	3.762833
300.2990001	3.761352
301.715	3.7597
303.1320001	3.758177
304.548	3.756653
305.965	3.755254
307.3809999	3.753601
308.7979999	3.752268
310.2139998	3.750747
311.6309999	3.74917
313.0479999	3.747821
314.4639998	3.746277
315.8809999	3.745069
317.2970002	3.743534
318.7139998	3.742317
320.1300001	3.740799
321.5470002	3.739266
322.9630001	3.737754
324.3800001	3.73654
325.796	3.735007
327.213	3.733773
328.6289999	3.732246
330.046	3.730799
331.4619999	3.729334
332.8789999	3.727873
334.2949998	3.726482
335.7119999	3.724954
337.1280002	3.72344
338.5449998	3.721898
339.9610001	3.720393
341.3780002	3.718844
342.7940001	3.717321
344.2110001	3.715799
345.627	3.714205
347.044	3.712743
348.4599999	3.711226
349.877	3.709398
351.2929999	3.707879
352.7099999	3.706293
354.1259998	3.704523
355.5429999	3.703005
356.9590002	3.70117
358.3759998	3.699645
359.7929998	3.697814
361.2090002	3.695835
362.6260002	3.693888
364.0420001	3.691995
365.4590001	3.689866
366.875	3.687731
368.2920001	3.685292
369.708	3.682865
371.125	3.680423
372.5409999	3.677989
373.958	3.675561
375.3739999	3.673127
376.7909999	3.670699
378.2069998	3.668175
379.6239998	3.665201
381.0400002	3.662695
382.4570002	3.659774
383.8730001	3.65678
385.2900001	3.653895
386.706	3.650856
388.1230001	3.648118
389.539	3.645371
390.956	3.643548
392.3719999	3.641729
393.789	3.640191
395.206	3.638968
396.6219999	3.637427
398.0389999	3.636186
399.4549998	3.634976
400.8719999	3.633749
402.2880002	3.632224
403.7049998	3.630698
405.1210001	3.629164
406.5380002	3.627349
407.9540001	3.625516
409.3710001	3.623373
410.787	3.62123
412.2040001	3.618802
413.62	3.615757
415.037	3.612202
416.4529999	3.608131
417.8699999	3.60314
419.2859998	3.596844
420.7029999	3.58861
422.1190002	3.577952
423.5359998	3.564347
424.9520001	3.548363
426.3690002	3.529762
427.7850001	3.509038
429.2020001	3.48628
430.618	3.460898
432.0350001	3.432793
433.451	3.400799
434.868	3.363573
436.285	3.319986
437.7009999	3.267897
439.118	3.201481
440.5339999	3.10983
441.5390001	2.999891
